Source,Target,Weight
SpecialLanes,Right Turn Lane,1
SpecialLanes,"Street Parking, Road Work, Crosswalk",1
SpecialLanes,Traffic Cones Blocking Parts of the Road,1
SpecialLanes,Turn Lane,1
SpecialLanes,Road Construction,1
SpecialLanes,Left Turn Only,1
SpecialLanes,Left Turn Lane,1
TrafficSigns,Types,1
TrafficSigns,Visibility,1
TrafficSigns,TrafficLightState,1
Types,None,1
Types,Pickup Truck,1
Types,Sedan,1
Types,Vans,1
Types,SUV,1
Types,Van,1
Types,Pedestrian Crossing,1
Types,Truck,1
Types,Directional Sign,1
Types,Direction Sign,1
Types,Truck Route,1
Types,No Parking Sign,1
Types,Construction Sign,1
Types,Construction Vehicles,1
Types,Road Work Ahead,1
Types,One Way,1
Types,Stop Sign,1
Types,Speed Limit,1
Types,Parking Sign,1
Types,NoSign,1
Types,No Right Turn,1
Types,No Parking,1
Types,Two-Way Traffic,1
Types,Railroad Crossing,1
Types,Road Work,1
Types,Detour,1
Types,NoTrafficSigns,1
Types,Traffic Light,1
Types,No Left Turn,1
Types,No Turn on Red,1
Types,Left Lane Must Turn Left,1
Types,Yield Sign,1
Types,Bus Stop,1
Types,Crosswalk,1
Types,Road Work Sign,1
Types,Construction Warning,1
Types,Must Turn Left,1
Types,Exit Sign,1
Types,Route Sign,1
Types,Bike Lane Sign,1
Types,Yield,1
Types,Bus Stop Sign,1
Types,Road Closed,1
Types,Electronic Sign,1
Types,Construction,1
Types,No U-Turn,1
Types,Left Turn Only,1
Types,Right Turn Only,1
Types,Parking,1
Types,Crosswalk Closed,1
Types,Right Turn Only Lane,1
Types,Forward Only Lane,1
Types,"Work Zone, Speeding Fine Doubled",1
Types,Left Turn Sign,1
Types,Merge Sign,1
Types,End Road Work,1
Types,Double Fines End,1
Types,Keep Right,1
Types,Turn Right,1
Types,Directional Signs,1
Types,Directional,1
Types,Do Not Enter,1
Types,Stop,1
Types,Turn Only,1
Visibility,Not Visible,1
Visibility,General,1
Visibility,SpecificImpairments,1
Visibility,Visible,1
Visibility,Not Applicable,1
Visibility,SignNotVisible,1
Visibility,None,1
Visibility,NoSign,1
Visibility,No Signs Visible,1
Visibility,NotPresent,1
Visibility,Clear,1
Vehicles,TotalNumber,1
Vehicles,InMotion,1
Vehicles,VehicleTypes,1
Vehicles,States,1
Vehicles,Types,1
TotalNumber,Multiple,1
TotalNumber,Few,1
TotalNumber,None,1
TotalNumber,Many,1
TotalNumber,Single,1
TotalNumber,Several,1
TotalNumber,Three,1
InMotion,False,1
InMotion,True,1
InMotion,One,1
VehicleTypes,Pickup Truck,1
VehicleTypes,Vans,1
VehicleTypes,Sedan,1
VehicleTypes,SUV,1
VehicleTypes,Van,1
VehicleTypes,Service Vehicle,1
VehicleTypes,Construction Vehicles,1
VehicleTypes,Utility Truck,1
VehicleTypes,Compact Car,1
VehicleTypes,Cars,1
VehicleTypes,Commercial Delivery Truck,1
VehicleTypes,"Trucks, Cars",1
VehicleTypes,"Cars, SUVs",1
VehicleTypes,None,1
VehicleTypes,Commercial Truck,1
VehicleTypes,Commercial Vehicles,1
VehicleTypes,Bus,1
VehicleTypes,Cars/SUVs,1
VehicleTypes,Commercial Vehicle,1
VehicleTypes,Truck,1
VehicleTypes,Minivan,1
VehicleTypes,Trucks,1
VehicleTypes,Sedans,1
VehicleTypes,Car,1
VehicleTypes,Delivery Truck,1
VehicleTypes,Trailer,1
VehicleTypes,Box Truck,1
VehicleTypes,Semi-Trailer Truck,1
VehicleTypes,Construction Vehicle,1
VehicleTypes,Semi Truck,1
VehicleTypes,Motorcycle,1
VehicleTypes,White Sedan,1
VehicleTypes,Taxi,1
VehicleTypes,Bicycle,1
VehicleTypes,Hatchback,1
VehicleTypes,Ambulance,1
VehicleTypes,Concrete Mixer Truck,1
VehicleTypes,Cement Mixer Truck,1
VehicleTypes,Utility Vehicle,1
VehicleTypes,Trolley,1
VehicleTypes,Police Car,1
VehicleTypes,Delivery Van,1
VehicleTypes,Jeep,1
VehicleTypes,Other Cars,1
VehicleTypes,Service Vehicles,1
VehicleTypes,Utility Van,1
States,Parked,1
States,In Motion,1
States,None,1
States,Blocking Parts of the Road,1
States,Stopped,1
States,In Queue,1
States,Directing Traffic,1
States,Stopped at Intersection,1
States,Turning,1
States,Stopping,1
States,Violate Traffic Rules,1
States,Queued,1
States,Crossing,1
States,Merging,1
States,Passenger Exiting,1
States,In Parking Exit,1
States,Turning Left,1
States,Moving,1
States,Waiting to Turn Right,1
States,Slowing Down,1
States,Door Open,1
States,Utility Work,1
Pedestrians,None,1
Pedestrians,Visible on Sidewalk,1
Pedestrians,Few,1
Pedestrians,Multiple,1
Pedestrians,Crossing Street,1
Pedestrians,Visible on Sidewalk and Crossing,1
Pedestrians,Visible,1
Pedestrians,Interacting with Vehicle,1
Pedestrians,Visible on Crosswalk,1
Pedestrians,Present,1
Directionality,One-Way,1
Directionality,Two-Way,1
Directionality,Unknown,1
Directionality,Multi-directional with median,1
Directionality,Divided,1
Ego-Vehicle,Direction,1
Ego-Vehicle,Maneuver,1
Direction,Forward,1
Direction,Making a Right Turn,1
Direction,Making a Left Turn,1
Direction,Stopped at Intersection,1
Direction,Preparing to Turn Left,1
Direction,Merging Right,1
Direction,Turning Left,1
Direction,Left Turn,1
Direction,Straight,1
Maneuver,Moving,1
Maneuver,Turning right,1
Maneuver,Turning,1
Maneuver,Slowing Down,1
Maneuver,Waiting,1
Maneuver,Approaching Intersection,1
Maneuver,Stopped at Intersection,1
Maneuver,Following,1
Maneuver,Stopped,1
Maneuver,In Queue,1
Maneuver,Merging left,1
Maneuver,Turning Right,1
Maneuver,Following Traffic,1
Maneuver,Merging,1
Maneuver,Proceeding through intersection,1
Maneuver,Turning Left,1
Maneuver,Turning left,1
Maneuver,Slowing down,1
General,Good,1
General,Reduced,1
General,Moderate,1
General,Limited,1
SpecificImpairments,Shadows,1
SpecificImpairments,None,1
SpecificImpairments,Obstructed,1
SpecificImpairments,NoImpairments,1
SpecificImpairments,Overcast Weather,1
SpecificImpairments,Cloudy Weather,1
SpecificImpairments,ObstructedView,1
SpecificImpairments,Clouds,1
SpecificImpairments,Overcast,1
CameraCondition,Clear,1
Severity,2,1
Severity,3,1
Severity,4,1
Severity,7,1
Severity,8,1
Severity,9,1
Severity,5,1
Severity,6,1
Severity,1,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Commercial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Not Clearly Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Street Parking,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Vans,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Forward,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Moving,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Shadows,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,2,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Commercial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Not Clearly Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Street Parking,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,True,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Vans,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,In Motion,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Forward,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Moving,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Shadows,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,3,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Commercial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Not Clearly Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Street Parking,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,True,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Van,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,In Motion,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Forward,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Moving,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Shadows,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,3,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Commercial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Not Clearly Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Street Parking,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Van,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Forward,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Moving,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Shadows,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,2,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Commercial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Van,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Visible on Sidewalk,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Forward,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Moving,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Shadows,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,3,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Industrial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,2,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Forward,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Moving,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,2,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Industrial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,2,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Making a Right Turn,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Turning right,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,3,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Industrial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,2,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Making a Right Turn,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Turning right,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,3,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Industrial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,2,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,SUV,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Parked,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Two-Way,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Making a Right Turn,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Turning right,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Good,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Clear,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,3,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Industrial,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Daytime,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Sunny,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Dry,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,2,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,None,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Not Visible,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Multiple,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,False,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Pickup Truck,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Sedan,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,SUV,1
