Source,Target
Weather,Partly Cloudy
RoadConditions,Dry
LaneInformation,NumberOfLanes
LaneInformation,LaneMarkings
LaneInformation,SpecialLanes
NumberOfLanes,1
NumberOfLanes,None
NumberOfLanes,2
NumberOfLanes,2
NumberOfLanes,1
NumberOfLanes,Multiple
NumberOfLanes,3
NumberOfLanes,4
NumberOfLanes,Two
NumberOfLanes,One
NumberOfLanes,Three
LaneMarkings,Not Visible
LaneMarkings,Not Clearly Visible
LaneMarkings,Visible
LaneMarkings,None
SpecialLanes,Street Parking
SpecialLanes,None
SpecialLanes,Crosswalk
SpecialLanes,Bike Lane
SpecialLanes,"Bike Lane, Crosswalk"
SpecialLanes,Right Turn Only Lane
SpecialLanes,Road Work
SpecialLanes,Bus Lane
SpecialLanes,Center Lane
SpecialLanes,Construction Zone
SpecialLanes,Left Turn Only Lane
SpecialLanes,Forward Only Lane
SpecialLanes,Pedestrian Crossing
SpecialLanes,Right Turn Lane
SpecialLanes,"Street Parking, Road Work, Crosswalk"
SpecialLanes,Traffic Cones Blocking Parts of the Road
SpecialLanes,Turn Lane
SpecialLanes,Road Construction
SpecialLanes,Left Turn Only
SpecialLanes,Left Turn Lane
TrafficSigns,Types
TrafficSigns,Visibility
TrafficSigns,TrafficLightState
Types,None
Types,Pickup Truck
Types,Sedan
Types,Vans
Types,SUV
Types,Van
Types,Pedestrian Crossing
Types,Truck
Types,Directional Sign
Types,Direction Sign
Types,Truck Route
Types,No Parking Sign
Types,Construction Sign
Types,Construction Vehicles
Types,Road Work Ahead
Types,One Way
Types,Stop Sign
Types,Speed Limit
Types,Parking Sign
Types,NoSign
Types,No Right Turn
Types,No Parking
Types,Two-Way Traffic
Types,Railroad Crossing
Types,Road Work
Types,Detour
Types,NoTrafficSigns
Types,Traffic Light
Types,No Left Turn
Types,No Turn on Red
Types,Left Lane Must Turn Left
Types,Yield Sign
Types,Bus Stop
Types,Crosswalk
Types,Road Work Sign
Types,Construction Warning
Types,Must Turn Left
Types,Exit Sign
Types,Route Sign
Types,Bike Lane Sign
Types,Yield
Types,Bus Stop Sign
Types,Road Closed
Types,Electronic Sign
Types,Construction
Types,No U-Turn
Types,Left Turn Only
Types,Right Turn Only
Types,Parking
Types,Crosswalk Closed
Types,Right Turn Only Lane
Types,Forward Only Lane
Types,"Work Zone, Speeding Fine Doubled"
Types,Left Turn Sign
Types,Merge Sign
Types,End Road Work
Types,Double Fines End
Types,Keep Right
Types,Turn Right
Types,Directional Signs
Types,Directional
Types,Do Not Enter
Types,Stop
Types,Turn Only
Visibility,Not Visible
Visibility,General
Visibility,SpecificImpairments
Visibility,Visible
Visibility,Not Applicable
Visibility,SignNotVisible
Visibility,None
Visibility,NoSign
Visibility,No Signs Visible
Visibility,NotPresent
Visibility,Clear
Vehicles,TotalNumber
Vehicles,InMotion
Vehicles,VehicleTypes
Vehicles,States
Vehicles,Types
TotalNumber,Multiple
TotalNumber,Few
TotalNumber,None
TotalNumber,Many
TotalNumber,Single
TotalNumber,Several
TotalNumber,Three
InMotion,False
InMotion,True
InMotion,One
VehicleTypes,Pickup Truck
VehicleTypes,Vans
VehicleTypes,Sedan
VehicleTypes,SUV
VehicleTypes,Van
VehicleTypes,Service Vehicle
VehicleTypes,Construction Vehicles
VehicleTypes,Utility Truck
VehicleTypes,Compact Car
VehicleTypes,Cars
VehicleTypes,Commercial Delivery Truck
VehicleTypes,"Trucks, Cars"
VehicleTypes,"Cars, SUVs"
VehicleTypes,None
VehicleTypes,Commercial Truck
VehicleTypes,Commercial Vehicles
VehicleTypes,Bus
VehicleTypes,Cars/SUVs
VehicleTypes,Commercial Vehicle
VehicleTypes,Truck
VehicleTypes,Minivan
VehicleTypes,Trucks
VehicleTypes,Sedans
VehicleTypes,Car
VehicleTypes,Delivery Truck
VehicleTypes,Trailer
VehicleTypes,Box Truck
VehicleTypes,Semi-Trailer Truck
VehicleTypes,Construction Vehicle
VehicleTypes,Semi Truck
VehicleTypes,Motorcycle
VehicleTypes,White Sedan
VehicleTypes,Taxi
VehicleTypes,Bicycle
VehicleTypes,Hatchback
VehicleTypes,Ambulance
VehicleTypes,Concrete Mixer Truck
VehicleTypes,Cement Mixer Truck
VehicleTypes,Utility Vehicle
VehicleTypes,Trolley
VehicleTypes,Police Car
VehicleTypes,Delivery Van
VehicleTypes,Jeep
VehicleTypes,Other Cars
VehicleTypes,Service Vehicles
VehicleTypes,Utility Van
States,Parked
States,In Motion
States,None
States,Blocking Parts of the Road
States,Stopped
States,In Queue
States,Directing Traffic
States,Stopped at Intersection
States,Turning
States,Stopping
States,Violate Traffic Rules
States,Queued
States,Crossing
States,Merging
States,Passenger Exiting
States,In Parking Exit
States,Turning Left
States,Moving
States,Waiting to Turn Right
States,Slowing Down
States,Door Open
States,Utility Work
Pedestrians,None
Pedestrians,Visible on Sidewalk
Pedestrians,Few
Pedestrians,Multiple
Pedestrians,Crossing Street
Pedestrians,Visible on Sidewalk and Crossing
Pedestrians,Visible
Pedestrians,Interacting with Vehicle
Pedestrians,Visible on Crosswalk
Pedestrians,Present
Directionality,One-Way
Directionality,Two-Way
Directionality,Unknown
Directionality,Multi-directional with median
Directionality,Divided
Ego-Vehicle,Direction
Ego-Vehicle,Maneuver
Direction,Forward
Direction,Making a Right Turn
Direction,Making a Left Turn
Direction,Stopped at Intersection
Direction,Preparing to Turn Left
Direction,Merging Right
Direction,Turning Left
Direction,Left Turn
Direction,Straight
Maneuver,Moving
Maneuver,Turning right
Maneuver,Turning
Maneuver,Slowing Down
Maneuver,Waiting
Maneuver,Approaching Intersection
Maneuver,Stopped at Intersection
Maneuver,Following
Maneuver,Stopped
Maneuver,In Queue
Maneuver,Merging left
Maneuver,Turning Right
Maneuver,Following Traffic
Maneuver,Merging
Maneuver,Proceeding through intersection
Maneuver,Turning Left
Maneuver,Turning left
Maneuver,Slowing down
General,Good
General,Reduced
General,Moderate
General,Limited
SpecificImpairments,Shadows
SpecificImpairments,None
SpecificImpairments,Obstructed
SpecificImpairments,NoImpairments
SpecificImpairments,Overcast Weather
SpecificImpairments,Cloudy Weather
SpecificImpairments,ObstructedView
SpecificImpairments,Clouds
SpecificImpairments,Overcast
CameraCondition,Clear
Severity,2
Severity,3
Severity,4
Severity,7
Severity,8
Severity,9
Severity,5
Severity,6
Severity,1
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Commercial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Street Parking
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Vans
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Shadows
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915245362465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Commercial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Street Parking
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,True
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Vans
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,In Motion
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Shadows
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915252112465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Commercial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Street Parking
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,True
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Van
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,In Motion
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Shadows
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915256662465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Commercial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Not Clearly Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Street Parking
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Van
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Shadows
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915260012465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Commercial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Van
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Visible on Sidewalk
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Shadows
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915267162465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Forward
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Moving
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272362465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Making a Right Turn
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Turning right
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915272912465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Making a Right Turn
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Turning right
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915275362465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Making a Right Turn
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Turning right
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915276612465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Two-Way
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Making a Right Turn
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Turning right
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Good
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,Clear
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915277612465.jpg,3
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Industrial
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Daytime
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Sunny
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Dry
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,2
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Street Parking
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,None
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Not Visible
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Multiple
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,False
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Sedan
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,SUV
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Pickup Truck
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Parked
n008-2018-05-21-11-06-59-0400__CAM_FRONT__1526915279362465.jpg,Two-Way
